age,job,marital,education,default,balance,housing,loan,subscribe
preold,management,married,tertiary,no,ok,yes,no,no
old,retired,married,tertiary,no,soso,no,no,no
preold,management,divorced,tertiary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,ok,yes,yes,no
preold,blue-collar,married,secondary,no,ok,yes,yes,no
middle,services,married,secondary,no,soso,yes,yes,no
preold,management,married,secondary,no,soso,yes,yes,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,no,yes,no
preold,services,divorced,secondary,no,soso,no,no,no
preold,services,divorced,secondary,no,soso,yes,yes,no
preold,services,divorced,secondary,yes,soso,yes,no,no
preold,admin.,single,secondary,no,soso,yes,no,no
preold,services,divorced,secondary,no,soso,no,no,no
middle,technician,single,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,yes
preold,self-employed,married,tertiary,no,soso,yes,yes,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,no,no,yes
middle,technician,married,secondary,no,soso,yes,no,yes
preold,management,divorced,secondary,no,soso,yes,yes,no
preold,retired,married,secondary,no,soso,yes,no,no
middle,management,single,secondary,no,soso,no,no,no
middle,technician,married,secondary,no,soso,yes,yes,no
old,admin.,married,secondary,no,soso,yes,no,no
old,blue-collar,married,unknown,no,soso,yes,no,no
preold,entrepreneur,divorced,secondary,no,bad,no,no,no
middle,management,married,tertiary,no,soso,yes,yes,no
preold,blue-collar,married,secondary,no,soso,no,no,no
old,retired,married,tertiary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
preold,blue-collar,married,primary,no,soso,no,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
young,technician,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,technician,married,tertiary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,no,yes,no
preold,retired,single,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
young,services,divorced,secondary,no,soso,yes,no,no
preold,technician,divorced,secondary,no,soso,no,no,no
preold,self-employed,married,primary,no,bad,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,retired,divorced,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,bad,yes,no,no
preold,management,divorced,tertiary,no,soso,no,no,no
preold,technician,married,primary,no,soso,no,no,no
preold,technician,divorced,unknown,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,admin.,married,unknown,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,yes,no
preold,technician,married,tertiary,no,soso,no,yes,no
middle,technician,single,secondary,no,soso,yes,no,no
young,admin.,single,secondary,no,soso,yes,yes,no
middle,services,married,secondary,no,bad,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,yes
preold,management,married,unknown,no,soso,no,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
preold,admin.,single,secondary,no,soso,yes,yes,no
young,unemployed,single,tertiary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,services,single,unknown,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,housemaid,divorced,primary,no,soso,yes,no,no
middle,self-employed,single,secondary,no,soso,yes,no,no
preold,unemployed,married,tertiary,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,soso,yes,no,no
preold,unemployed,married,secondary,no,soso,yes,no,no
middle,services,married,primary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,bad,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,bad,yes,no,no
middle,management,married,secondary,no,soso,yes,no,no
preold,technician,married,primary,no,soso,no,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
old,retired,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,services,married,unknown,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
preold,services,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
young,admin.,single,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
preold,admin.,married,tertiary,no,soso,no,no,yes
preold,blue-collar,married,primary,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,yes,no
preold,entrepreneur,married,unknown,no,soso,yes,no,no
middle,retired,single,primary,no,soso,no,no,no
old,admin.,divorced,secondary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
preold,unemployed,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
preold,management,married,secondary,no,soso,yes,no,no
middle,services,married,tertiary,no,soso,yes,no,no
middle,technician,divorced,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
middle,admin.,married,tertiary,no,soso,yes,no,no
preold,retired,married,primary,no,soso,yes,no,no
middle,services,divorced,unknown,no,soso,yes,no,no
preold,management,married,secondary,no,soso,no,no,no
middle,blue-collar,single,secondary,no,soso,yes,yes,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,retired,married,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,technician,divorced,tertiary,no,soso,no,yes,no
middle,management,married,tertiary,no,soso,yes,no,no
old,blue-collar,divorced,primary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,self-employed,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,student,single,unknown,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,ok,yes,no,no
middle,management,married,tertiary,no,soso,yes,yes,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,services,single,unknown,no,soso,yes,no,no
middle,retired,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
preold,retired,married,secondary,no,soso,yes,no,no
preold,housemaid,divorced,primary,no,soso,no,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,bad,yes,no,no
middle,technician,married,tertiary,no,soso,yes,no,no
preold,unknown,married,unknown,no,soso,no,no,no
preold,unemployed,married,unknown,no,soso,no,no,no
preold,housemaid,married,primary,no,soso,no,no,no
middle,management,married,tertiary,no,soso,yes,yes,no
middle,unemployed,married,secondary,no,soso,yes,no,no
young,blue-collar,married,primary,no,soso,yes,no,no
middle,entrepreneur,divorced,secondary,no,bad,yes,no,no
preold,retired,married,secondary,no,soso,no,yes,no
middle,technician,divorced,unknown,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,management,married,unknown,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,unknown,no,soso,no,no,no
preold,services,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,bad,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,entrepreneur,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,no,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,bad,yes,yes,no
preold,technician,married,secondary,no,soso,yes,yes,no
middle,entrepreneur,married,unknown,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,no,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,management,married,unknown,no,soso,no,no,no
young,blue-collar,single,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,yes,no
middle,services,single,secondary,no,soso,yes,no,no
middle,technician,divorced,secondary,no,soso,yes,no,no
preold,management,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,entrepreneur,divorced,secondary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,no
middle,entrepreneur,married,primary,no,soso,yes,no,no
middle,student,single,tertiary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,bad,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,yes,yes
middle,blue-collar,divorced,primary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
preold,entrepreneur,divorced,secondary,no,soso,no,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
preold,retired,married,secondary,no,soso,yes,no,no
middle,services,divorced,secondary,no,bad,yes,no,no
preold,services,married,secondary,no,soso,no,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,self-employed,married,tertiary,no,soso,no,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,admin.,married,secondary,no,bad,yes,yes,no
preold,technician,married,tertiary,no,soso,no,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,technician,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,self-employed,married,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
preold,technician,single,unknown,no,soso,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,no,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,technician,divorced,primary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
middle,blue-collar,divorced,primary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,unknown,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,retired,married,secondary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
preold,services,married,unknown,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,management,married,unknown,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,technician,married,unknown,no,soso,yes,no,no
preold,services,divorced,primary,no,soso,yes,yes,no
middle,services,divorced,secondary,no,soso,yes,yes,no
middle,admin.,single,tertiary,no,soso,no,no,no
preold,admin.,married,secondary,no,bad,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
preold,technician,single,secondary,no,soso,yes,no,no
middle,retired,single,primary,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
preold,management,married,secondary,no,soso,yes,no,no
middle,technician,divorced,tertiary,no,soso,no,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
preold,management,single,tertiary,no,soso,no,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
preold,technician,married,tertiary,no,soso,yes,no,no
preold,technician,married,unknown,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,no,no,no
middle,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,bad,yes,no,no
preold,management,single,tertiary,no,soso,yes,no,no
preold,management,divorced,tertiary,no,good,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,yes,no
preold,admin.,single,secondary,yes,bad,no,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,management,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,divorced,secondary,no,bad,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
preold,services,married,unknown,no,soso,no,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,no
middle,services,married,tertiary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
preold,management,single,tertiary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,unknown,divorced,unknown,no,soso,no,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,entrepreneur,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,admin.,single,tertiary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
young,services,married,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,yes,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,technician,married,tertiary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,no
middle,admin.,divorced,tertiary,no,soso,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,no,no,no
young,admin.,single,secondary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
preold,blue-collar,single,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,no,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,yes,no
middle,management,married,secondary,no,ok,no,no,no
middle,admin.,married,unknown,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,yes,no
preold,technician,married,unknown,no,soso,yes,no,no
middle,unemployed,married,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,yes,yes
preold,blue-collar,divorced,unknown,no,soso,yes,no,no
old,retired,divorced,secondary,no,soso,yes,no,yes
middle,technician,married,tertiary,no,ok,yes,no,no
preold,technician,divorced,tertiary,no,soso,yes,no,no
young,admin.,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,yes,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,no,yes,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,housemaid,married,primary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,yes,no
young,self-employed,single,tertiary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
preold,technician,married,unknown,no,soso,no,no,no
preold,management,married,tertiary,no,soso,no,no,no
preold,retired,married,tertiary,no,soso,no,no,no
preold,blue-collar,divorced,primary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,admin.,single,secondary,no,bad,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
middle,entrepreneur,married,tertiary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,no,no,no
middle,unemployed,married,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,soso,yes,yes,no
middle,technician,married,secondary,yes,soso,yes,no,no
preold,management,single,tertiary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,management,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,no,no,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,technician,divorced,secondary,no,soso,no,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
preold,services,married,primary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
young,self-employed,single,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
middle,technician,single,unknown,no,good,yes,no,yes
preold,self-employed,married,unknown,no,bad,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,unknown,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,no,no,no
preold,management,divorced,unknown,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,admin.,single,secondary,no,bad,yes,yes,no
middle,technician,married,secondary,no,soso,yes,no,yes
middle,blue-collar,single,secondary,yes,bad,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,secondary,no,bad,no,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
middle,unemployed,married,primary,no,soso,yes,no,no
middle,services,single,primary,no,soso,yes,no,no
preold,retired,single,secondary,no,soso,no,yes,no
middle,admin.,single,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,self-employed,married,tertiary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,no,no
middle,housemaid,single,primary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,no,no,yes
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,management,single,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,management,single,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,no,no,no
middle,services,single,secondary,no,soso,yes,no,no
preold,management,divorced,primary,no,soso,no,no,no
middle,blue-collar,divorced,secondary,no,soso,yes,yes,no
preold,management,divorced,tertiary,no,bad,yes,yes,no
preold,technician,married,unknown,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,unemployed,married,tertiary,no,ok,no,no,no
middle,blue-collar,divorced,secondary,no,bad,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,blue-collar,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
preold,admin.,married,primary,no,soso,yes,yes,no
middle,technician,single,unknown,no,bad,no,no,no
middle,management,single,tertiary,no,soso,yes,yes,no
young,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,retired,divorced,secondary,no,bad,yes,no,no
preold,blue-collar,single,secondary,no,soso,yes,no,no
old,retired,married,secondary,yes,soso,no,no,no
young,admin.,single,secondary,no,soso,yes,no,no
preold,retired,married,secondary,no,ok,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
preold,unemployed,divorced,secondary,no,soso,yes,no,yes
middle,blue-collar,married,primary,no,soso,yes,yes,no
preold,management,divorced,secondary,no,soso,yes,no,no
preold,entrepreneur,married,secondary,no,soso,yes,yes,no
middle,admin.,married,unknown,no,soso,no,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,yes,no
middle,blue-collar,single,tertiary,no,soso,yes,no,no
preold,management,single,unknown,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,no,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
young,management,single,tertiary,no,soso,yes,no,no
preold,retired,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,management,married,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
preold,management,divorced,unknown,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,no,no,no
middle,housemaid,married,primary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,bad,yes,no,no
middle,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,services,divorced,secondary,no,soso,yes,no,no
preold,technician,married,primary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,unemployed,single,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,unknown,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,self-employed,married,tertiary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,yes,no
middle,admin.,married,secondary,no,soso,yes,no,no
